schoolid,schoolname,endyear,city,final_enddate
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-01-13
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2019-11-14
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2019-11-27
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
28,aa,2020,New Haven,2020-06-12
